"Event","Frequency"
"[name] out at [base] [position] unassisted, interference","1"
"[name] lined out to [position] up the middle (count)","1"
"[name] doubled to [fieldLocation], RBI (count)","37"
"[name] singled to [fieldLocation], advanced to [base] on the error (count)","1"
"[name] out on the play","63"
"[name] out at [base] via hidden ball trick","1"
"[name] grounded out to [position]","29"
"[name] out at [base] [position] to [position], picked off, caught stealing","1"
"[name] lined into double play [position] unassisted","1"
"[name] hit into double play [position] unassisted (count)","1"
"[name] flied out to [position]","29"
"[name] hit into double play [position] to [position] (count)","2"
"[name] flied out to [position], SAC, RBI (count)","4"
"[name] doubled down the [fieldLocation], RBI","1"
"[name] stole [base]","127"
"[name] struck out swinging, reached [base] on a wild pitch (count)","4"
"[name] advanced to [base] on a wild pitch","105"
"[name] out at [base] [position] to [position] to [position], picked off, caught stealing","4"
"[name] advanced to [base], advanced to [base] on the throw","2"
"[name] walked (count)","373"
"[name] hit into double play [position] to [position]","1"
"[name] scored","326"
"[name] singled to [fieldLocation] (count)","250"
"[name] advanced to [base] on an error by [position], assist by [position]","1"
"[name] advanced to [base], advanced to [base] on the error","4"
"[name] singled down the [position] line, bunt (count)","2"
"[name] singled, RBI, advanced to [base]","1"
"[name] stole [base], advanced to [base] on an error by [position]","1"
"[name] scored on a passed ball, unearned","7"
"[name] reached on a throwing error by [position], advanced to [base] on the error (count)","2"
"[name] grounded out to [position], SAC (count)","3"
"[name] out at [base] [position] to [position] to [position], caught stealing, picked off","1"
"[name] grounded out to [position] unassisted, SAC, bunt (count)","4"
"[name] scored on a balk","1"
"[name] advanced to [base] on an error by [position], advanced to [base]","1"
"[name] reached on an error by [position]","10"
"[name] to [position] for [name]","428"
"[name] fouled out to [position], bunt (count)","3"
"[name] scored on a balk, unearned","1"
"[name] doubled down the [fieldLocation], 3 RBI (count)","1"
"[name] hit by pitch (count)","100"
