"Year","Year ID","Division","Team Conference","Team Name","Team ID","Team URL","Game Date","Opponent Conference","Opponent Name","Opponent ID","Opponent URL","Neutral Site","Location","Home Game","Team Won","Score","Team Score","Opponent Score","Extra Innings","Innings","Game ID","Game URL"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","05/06/2018","Big East","Xavier","812","http://stats.ncaa.org/team/812/12973","false","Butler","Butler","Butler","6-4","6","4","false","","4578067","http://stats.ncaa.org/game/index/4578067?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","05/09/2018","MAC","Toledo","709","http://stats.ncaa.org/team/709/12973","false","Butler","Butler","Toledo","8-9","8","9","false","","4579824","http://stats.ncaa.org/game/index/4579824?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","05/11/2018","Big East","Georgetown","251","http://stats.ncaa.org/team/251/12973","false","Butler","Butler","Butler","15-8","15","8","false","","4580787","http://stats.ncaa.org/game/index/4580787?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","05/12/2018","Big East","Georgetown","251","http://stats.ncaa.org/team/251/12973","false","Butler","Butler","Butler","3-0","3","0","false","","4581376","http://stats.ncaa.org/game/index/4581376?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","05/13/2018","Big East","Georgetown","251","http://stats.ncaa.org/team/251/12973","false","Butler","Butler","Georgetown","3-5","3","5","false","","4581723","http://stats.ncaa.org/game/index/4581723?org_id=87"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","05/15/2018","MAC","Eastern Mich.","204","http://stats.ncaa.org/team/204/12973","false","Eastern Mich.","Eastern Mich.","Butler","11-6","11","6","false","","4582558","http://stats.ncaa.org/game/index/4582558?org_id=204"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","05/17/2018","Big East","St. John's (NY)","603","http://stats.ncaa.org/team/603/12973","false","St. John's (NY)","St. John's (NY)","St. John's (NY)","2-4","2","4","false","","4583017","http://stats.ncaa.org/game/index/4583017?org_id=603"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","05/18/2018","Big East","St. John's (NY)","603","http://stats.ncaa.org/team/603/12973","false","St. John's (NY)","St. John's (NY)","Butler","3-0","3","0","false","","4583480","http://stats.ncaa.org/game/index/4583480?org_id=603"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","05/18/2018","Big East","St. John's (NY)","603","http://stats.ncaa.org/team/603/12973","false","St. John's (NY)","St. John's (NY)","St. John's (NY)","1-3","1","3","false","","4583481","http://stats.ncaa.org/game/index/4583481?org_id=603"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","05/24/2018","Big East","Seton Hall","635","http://stats.ncaa.org/team/635/12973","false","Seton Hall","Seton Hall","Butler","2-1","2","1","true","13","4584949","http://stats.ncaa.org/game/index/4584949?org_id=635"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","05/25/2018","Big East","St. John's (NY)","603","http://stats.ncaa.org/team/603/12973","true","Mason, Ohio","Neutral","St. John's (NY)","8-12","8","12","false","","4585105","http://stats.ncaa.org/game/index/4585105?org_id=603"
"2018","12973","1","Big East","Butler","87","http://stats.ncaa.org/team/87/12973","05/26/2018","Big East","Seton Hall","635","http://stats.ncaa.org/team/635/12973","false","Seton Hall","Seton Hall","Seton Hall","3-4","3","4","false","","4585227","http://stats.ncaa.org/game/index/4585227?org_id=635"
