Game ID,Team,Player ID,Player,Lineup Position,G,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,RBI2out
4501278,James Madison,1870455,"Semones, Fox",2B,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
4501278,James Madison,1643276,"Sisk, Adam",RF,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
4501278,James Madison,1870413,"Griffin, Davonn",LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1870454,"Brown, Harry",LF,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
4501278,James Madison,1997554,"Hartigan, Conor",DH,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1997555,"Jackson, Dallas",PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1772230,"Tondi, Zach",C,0,1,4,2,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1997572,"Morgan, Michael",1B,0,0,4,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0
4501278,James Madison,1643277,"Sciorra, Michael",CF,0,0,3,1,1,0,2,0,0,0,1,0,0,1,0,0,0,1,0
4501278,James Madison,1870451,"Coale, Ryan",PH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1643272,"McKay, Bradley",3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1997570,"Johnson, Hunter",3B,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
4501278,James Madison,1997556,"Jones, Josh",SS,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
4501278,James Madison,1997557,"Jones, Grayson",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1997574,"Richards, Garrett",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1997559,"Showalter, Justin",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1643274,"McCoy, Tucker",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,1870460,"Kelly, Kevin",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501278,James Madison,,Totals,0,0,1,30,6,2,0,11,1,1,2,2,0,0,12,2,0,0,1,0
4501278,Liberty,1752971,"Artis, D.J.",CF,0,1,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0
4501278,Liberty,1877756,"McDyre, Trey",3B2B,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4501278,Liberty,1877776,"Embry, Jonathan",C,0,1,3,3,0,0,3,0,1,0,1,0,0,0,0,0,0,0,0
4501278,Liberty,1529674,"Allen, Dylan",1B,0,0,3,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
4501278,Liberty,1995271,"Todd, Tre",LF,0,1,4,1,0,0,4,1,2,0,0,0,0,2,0,0,0,0,0
4501278,Liberty,1887209,"Reese, E.P.",PH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501278,Liberty,1529693,"Yacyk, Andrew",DH,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4501278,Liberty,1995270,"Rohrer, Brandon",RF,0,0,4,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
4501278,Liberty,1877772,"Locklear, Cam",SS,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
4501278,Liberty,1877773,"Highfill, Ben",3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501278,Liberty,1995289,"Wagner, Will",2B,0,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
4501278,Liberty,1995287,"Brockman, Zach",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501278,Liberty,1877757,"Clinton, Zach",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501278,Liberty,1877775,"Tarantola, Vinnie",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501278,Liberty,1995274,"Good, Ben",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501278,Liberty,1995278,"Stamper, Brady",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4501278,Liberty,,Totals,0,0,4,31,8,0,0,11,1,4,1,1,0,1,11,0,0,0,2,0
4545416,Albany (NY),1771122,"Lagravinese, Patrick",LF,0,0,6,1,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0
4545416,Albany (NY),1640186,"Hayden, Kenny",PR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4545416,Albany (NY),1977546,"Malm, Brad",3B,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4545416,Albany (NY),1878158,"Thul, Alex",3B,0,0,4,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
4545416,Albany (NY),1771125,"Powers, Connor",CF,0,2,5,1,0,0,4,1,2,1,0,0,0,2,0,0,0,0,0
4545416,Albany (NY),1878153,"Kondo, Nick",PR2B,0,1,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
4545416,Albany (NY),1771119,"Donati, Kevin",2B,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4545416,Albany (NY),1878151,"Collins, Travis",SS,0,0,4,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
4545416,Albany (NY),1878159,"Wangenstein, Marc",RF,0,1,4,1,0,0,1,0,2,1,0,0,0,0,0,0,0,1,0
4545416,Albany (NY),1977534,"Turco, Chris",DH,0,0,3,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0
4545416,Albany (NY),1771117,"Codispoti, Matt",C,0,1,5,4,1,0,5,0,1,0,0,0,0,0,0,0,0,1,0
4545416,Albany (NY),1977529,"Hernandez, Ryan",1B,0,1,4,1,1,0,2,0,0,0,0,0,1,1,1,0,0,0,0
4545416,Albany (NY),1529850,"Genovese, J.T.",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4545416,Albany (NY),1878157,"Smith, Brendan",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4545416,Albany (NY),1771130,"Torres, Hunter",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4545416,Albany (NY),1771127,"Savino, Dominic",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4545416,Albany (NY),,Totals,0,0,8,43,12,3,0,18,1,7,3,1,1,1,14,1,1,0,3,0
4545416,James Madison,1870455,"Semones, Fox",2BLF,0,0,5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
4545416,James Madison,1997572,"Morgan, Michael",1B,0,1,3,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0
4545416,James Madison,1643276,"Sisk, Adam",RF,0,2,5,3,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0
4545416,James Madison,1772230,"Tondi, Zach",C,0,0,6,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4545416,James Madison,1997554,"Hartigan, Conor",DH,0,0,5,1,0,0,1,0,1,1,0,0,0,2,1,1,0,0,0
4545416,James Madison,1870413,"Griffin, Davonn",PRLF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4545416,James Madison,1870415,"Dipasupil, Matt",PH2B,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
4545416,James Madison,1870454,"Brown, Harry",LF,0,1,4,2,0,0,5,1,1,0,0,0,0,1,0,0,0,0,0
4545416,James Madison,1643277,"Sciorra, Michael",CF,0,0,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
4545416,James Madison,1643272,"McKay, Bradley",3B,0,1,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
4545416,James Madison,1870451,"Coale, Ryan",PH,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4545416,James Madison,1772214,"Dofflemyer, Tanner",SS,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4545416,James Madison,1997556,"Jones, Josh",SS,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
4545416,James Madison,1758478,"Perkins, Shelton",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4545416,James Madison,1997567,"Ayer, Brett",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4545416,James Madison,1870465,"Colon, Matt",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4545416,James Madison,1772229,"Marsili, Matt",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4545416,James Madison,1870459,"Robertson, Nick",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4545416,James Madison,1643273,"Harlow, Colton",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4545416,James Madison,,Totals,0,0,5,39,10,0,0,13,1,5,5,4,1,2,8,2,1,0,1,0
4505473,Albany (NY),1771122,"Lagravinese, Patrick",LF,0,2,3,2,0,1,4,0,0,1,0,0,0,0,0,1,0,0,0
4505473,Albany (NY),1977546,"Malm, Brad",3B2B,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
4505473,Albany (NY),1771125,"Powers, Connor",CF,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4505473,Albany (NY),1878159,"Wangenstein, Marc",RF,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
4505473,Albany (NY),1878151,"Collins, Travis",SS,0,0,4,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
4505473,Albany (NY),1771117,"Codispoti, Matt",C,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4505473,Albany (NY),1977534,"Turco, Chris",DH,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
4505473,Albany (NY),1977529,"Hernandez, Ryan",1B,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
4505473,Albany (NY),1878158,"Thul, Alex",PH3B,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4505473,Albany (NY),1878153,"Kondo, Nick",2B,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4505473,Albany (NY),1977536,"Yankowski, Dan",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505473,Albany (NY),1977552,"Takacs, Connor",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505473,Albany (NY),1771128,"Spedafino, Angelo",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505473,Albany (NY),,Totals,0,0,3,30,4,1,1,7,0,0,2,0,0,0,12,0,2,0,0,0
4505473,James Madison,1643277,"Sciorra, Michael",CF,0,0,4,2,0,0,2,0,2,1,0,0,0,1,0,1,0,2,0
4505473,James Madison,1997572,"Morgan, Michael",1B,0,0,4,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
4505473,James Madison,1643276,"Sisk, Adam",RF,0,0,4,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0
4505473,James Madison,1772230,"Tondi, Zach",DH,0,0,3,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
4505473,James Madison,1643272,"McKay, Bradley",3B,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
4505473,James Madison,1870413,"Griffin, Davonn",PRLF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4505473,James Madison,1870454,"Brown, Harry",LF,0,1,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
4505473,James Madison,1870455,"Semones, Fox",2B,0,1,4,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0
4505473,James Madison,1997556,"Jones, Josh",SS,0,1,3,1,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0
4505473,James Madison,1870450,"Hayes, Kyle",C,0,1,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
4505473,James Madison,1997574,"Richards, Garrett",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505473,James Madison,1997553,"Goggin, Dan",P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4505473,James Madison,,Totals,0,0,4,31,9,1,0,10,0,4,7,1,0,0,10,0,2,0,2,0
4507974,Albany (NY),1771122,"Lagravinese, Patrick",LFP,0,0,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
4507974,Albany (NY),1977546,"Malm, Brad",3B2B,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4507974,Albany (NY),1771125,"Powers, Connor",CF,0,1,4,3,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0
4507974,Albany (NY),1878159,"Wangenstein, Marc",RF,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
4507974,Albany (NY),1878151,"Collins, Travis",SS,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4507974,Albany (NY),1771117,"Codispoti, Matt",DH,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4507974,Albany (NY),1977529,"Hernandez, Ryan",1B,0,0,3,1,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0
4507974,Albany (NY),1977527,"Gurnack, Josh",C,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4507974,Albany (NY),1977534,"Turco, Chris",PH,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
