Game ID,Team,Player ID,Player,Lineup Position,G,PO,TC,A,E,CI,PB,SBA,CSB,IDP,TP
4505473,Albany (NY),,Totals,0,1,24,36,12,0,0,1,2,2,0,0
4505473,James Madison,1643277,"Sciorra, Michael",CF,1,1,1,0,0,0,0,0,0,0,0
4505473,James Madison,1997572,"Morgan, Michael",1B,1,7,9,2,0,0,0,0,0,0,0
4505473,James Madison,1643276,"Sisk, Adam",RF,1,1,1,0,0,0,0,0,0,0,0
4505473,James Madison,1772230,"Tondi, Zach",DH,1,0,0,0,0,0,0,0,0,0,0
4505473,James Madison,1643272,"McKay, Bradley",3B,1,0,2,1,1,0,0,0,0,0,0
4505473,James Madison,1870413,"Griffin, Davonn",PRLF,1,1,1,0,0,0,0,0,0,0,0
4505473,James Madison,1870454,"Brown, Harry",LF,1,1,1,0,0,0,0,0,0,0,0
4505473,James Madison,1870455,"Semones, Fox",2B,1,2,3,1,0,0,0,0,0,0,0
4505473,James Madison,1997556,"Jones, Josh",SS,1,1,2,1,0,0,0,0,0,0,0
4505473,James Madison,1870450,"Hayes, Kyle",C,1,11,14,3,0,0,0,0,2,0,0
4505473,James Madison,1997574,"Richards, Garrett",P,1,1,1,0,0,0,0,0,1,0,0
4505473,James Madison,1997553,"Goggin, Dan",P,1,1,3,2,0,0,0,0,1,0,0
4505473,James Madison,,Totals,0,1,27,38,10,1,0,0,0,2,0,0
4507974,Albany (NY),1771122,"Lagravinese, Patrick",LFP,1,2,3,0,1,0,0,1,0,0,0
4507974,Albany (NY),1977546,"Malm, Brad",3B2B,1,1,2,1,0,0,0,0,0,0,0
4507974,Albany (NY),1771125,"Powers, Connor",CF,1,3,3,0,0,0,0,0,0,0,0
4507974,Albany (NY),1878159,"Wangenstein, Marc",RF,1,2,2,0,0,0,0,0,0,0,0
4507974,Albany (NY),1878151,"Collins, Travis",SS,1,0,0,0,0,0,0,0,0,0,0
4507974,Albany (NY),1771117,"Codispoti, Matt",DH,1,0,0,0,0,0,0,0,0,0,0
4507974,Albany (NY),1977529,"Hernandez, Ryan",1B,1,7,7,0,0,0,0,0,0,0,0
4507974,Albany (NY),1977527,"Gurnack, Josh",C,1,7,8,1,0,0,1,4,0,0,0
4507974,Albany (NY),1977534,"Turco, Chris",PH,1,0,0,0,0,0,0,0,0,0,0
4507974,Albany (NY),1878158,"Thul, Alex",3B,1,0,0,0,0,0,0,0,0,0,0
4507974,Albany (NY),1878153,"Kondo, Nick",2B,1,2,5,3,0,0,0,0,0,0,0
4507974,Albany (NY),1977502,"Bird, Nick",P,1,0,0,0,0,0,0,0,0,0,0
4507974,Albany (NY),1878156,"Morrisroe, Connor",P,1,0,1,1,0,0,0,3,0,0,0
4507974,Albany (NY),1771130,"Torres, Hunter",P,1,0,1,1,0,0,0,0,0,0,0
4507974,Albany (NY),1640186,"Hayden, Kenny",LF,1,0,0,0,0,0,0,0,0,0,0
4507974,Albany (NY),1878150,"Clayton, John",P,1,0,2,2,0,0,0,0,0,0,0
4507974,Albany (NY),,Totals,0,1,24,34,9,1,0,1,4,0,0,0
4507974,James Madison,1643277,"Sciorra, Michael",CF,1,2,2,0,0,0,0,0,0,0,0
4507974,James Madison,1997572,"Morgan, Michael",1B,1,13,15,2,0,0,0,0,0,0,0
4507974,James Madison,1997555,"Jackson, Dallas",PR,1,0,0,0,0,0,0,0,0,0,0
4507974,James Madison,1870450,"Hayes, Kyle",C,1,1,1,0,0,0,0,0,0,0,0
4507974,James Madison,1772230,"Tondi, Zach",C,1,5,5,0,0,0,0,0,0,0,0
4507974,James Madison,1643276,"Sisk, Adam",RF,1,1,1,0,0,0,0,0,0,0,0
4507974,James Madison,1870413,"Griffin, Davonn",LF,1,0,0,0,0,0,0,0,0,0,0
4507974,James Madison,1870454,"Brown, Harry",LF,1,1,1,0,0,0,0,0,0,0,0
4507974,James Madison,1870455,"Semones, Fox",2B,1,0,4,4,0,0,0,0,0,0,0
4507974,James Madison,1772214,"Dofflemyer, Tanner",PH,1,0,0,0,0,0,0,0,0,0,0
4507974,James Madison,1870451,"Coale, Ryan",DH,1,0,0,0,0,0,0,0,0,0,0
4507974,James Madison,1997556,"Jones, Josh",SS,1,2,8,5,1,0,0,0,0,0,0
4507974,James Madison,1643272,"McKay, Bradley",3B,1,0,0,0,0,0,0,0,0,0,0
4507974,James Madison,1997570,"Johnson, Hunter",3B,1,0,0,0,0,0,0,0,0,0,0
4507974,James Madison,1870452,"Bechtold, Michael",P,1,1,1,0,0,0,0,0,0,0,0
4507974,James Madison,1997557,"Jones, Grayson",P,1,0,0,0,0,0,0,0,0,0,0
4507974,James Madison,1643274,"McCoy, Tucker",P,1,0,0,0,0,0,0,0,0,0,0
4507974,James Madison,1870460,"Kelly, Kevin",P,1,0,0,0,0,0,0,0,0,0,0
4507974,James Madison,1997560,"Stewart, Nick",P,1,1,1,0,0,0,0,0,0,0,0
4507974,James Madison,,Totals,0,1,27,39,11,1,0,0,0,0,0,0
4509750,James Madison,1643277,"Sciorra, Michael",CF,1,1,1,0,0,0,0,0,0,0,0
4509750,James Madison,1870413,"Griffin, Davonn",LF,1,1,1,0,0,0,0,0,0,0,0
4509750,James Madison,1870454,"Brown, Harry",LF,1,1,2,0,1,0,0,0,0,0,0
4509750,James Madison,1643276,"Sisk, Adam",RF,1,3,4,1,0,0,0,0,0,0,0
4509750,James Madison,1772230,"Tondi, Zach",DHC,1,1,1,0,0,0,0,0,0,0,0
4509750,James Madison,1870455,"Semones, Fox",2B,1,1,3,2,0,0,0,0,0,1,0
4509750,James Madison,1997556,"Jones, Josh",SS,1,1,5,4,0,0,0,0,0,1,0
4509750,James Madison,1772214,"Dofflemyer, Tanner",1B,1,12,14,2,0,0,0,0,0,2,0
4509750,James Madison,1643272,"McKay, Bradley",3B,1,1,3,2,0,0,0,0,0,0,0
4509750,James Madison,1870451,"Coale, Ryan",PH,1,0,0,0,0,0,0,0,0,0,0
4509750,James Madison,1997570,"Johnson, Hunter",PH,1,0,0,0,0,0,0,0,0,0,0
4509750,James Madison,1870459,"Robertson, Nick",P,1,0,0,0,0,0,0,0,0,0,0
4509750,James Madison,1870465,"Colon, Matt",P,1,1,1,0,0,0,0,0,0,0,0
4509750,James Madison,1870450,"Hayes, Kyle",C,1,3,3,0,0,0,1,0,0,0,0
4509750,James Madison,1997574,"Richards, Garrett",P,1,0,0,0,0,0,0,0,0,0,0
4509750,James Madison,1758478,"Perkins, Shelton",P,1,0,1,1,0,0,0,0,0,0,0
4509750,James Madison,1997567,"Ayer, Brett",P,1,0,0,0,0,0,0,0,0,0,0
4509750,James Madison,1772229,"Marsili, Matt",P,1,1,1,0,0,0,0,0,0,0,0
4509750,James Madison,1772212,"Bourne, Christian",P,1,0,0,0,0,0,0,0,0,0,0
4509750,James Madison,,Totals,0,1,27,40,12,1,0,1,0,0,2,0
4509750,Richmond,1645900,"Lee, D.J.",LF,1,1,2,0,1,0,0,0,0,0,0
4509750,Richmond,1863965,"Capra, Vinny",SS,1,3,8,4,1,0,0,0,0,0,0
4509750,Richmond,1645895,"Brumbaugh, Daniel",2B,1,2,4,2,0,0,0,0,0,0,0
4509750,Richmond,1645893,"Adams, Kyle",1B,1,9,10,1,0,0,0,0,0,0,0
4509750,Richmond,1863964,"Miller, Tim",DH,1,0,0,0,0,0,0,0,0,0,0
4509750,Richmond,1977517,"Bruhl, Sage",RF,1,1,1,0,0,0,0,0,0,0,0
4509750,Richmond,1863971,"Cook, Justin",3B,1,2,6,3,1,0,0,0,0,0,0
4509750,Richmond,1645899,"Johnson, Brandon",C,1,7,9,2,0,0,0,1,1,0,0
4509750,Richmond,1977525,"Forte, Anthony",CF,1,2,2,0,0,0,0,0,0,0,0
