"Game ID","Team","Player ID","Player","Lineup Position","Games","App","GS","IP","H","R","ER","BB","SO","SHO","BF","P-OAB","2B-A","3B-A","HR-A","WP","Bk","HB","IBB","Inh Run","Inh Run Score","SHA","SFA","Pitches","GO","FO","W","L","SV","OrdAppeared","KL","P","C","1B","2B","3B","SS","LF","CF","RF","DH","PH","PR"
"0","Houston Baptist","1322758","Brown, Bradley","4:9, 5:4, 6:1, 7:4, 8:2, 9:3, 12:1","24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","24","0","0","0","0","0","0","0","0","0"
"0","Houston Baptist","1322759","Hernandez, Michael","10:1","1","1.0","0.0","0.1","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","4.0","0.0","1","0","0","0","0","0","0","0","0","0","0","0"
"0","Houston Baptist","1322764","Martinez, Josh","8:2, 9:3, 10:3, 11:4, 12:1, 13:1","14","2.0","0.0","5.0","11.0","8.0","7.0","3.0","2.0","0.0","29.0","25.0","1.0","0.0","1.0","0.0","0.0","1.0","0.0","2.0","2.0","0.0","0.0","105.0","5.0","7.0","0.0","0.0","0.0","5.0","0.0","2","0","0","0","13","0","0","0","0","0","0","0"
"0","Houston Baptist","1110538","Schafer, Dalton","12:2, 13:3, 15:1","6","6.0","6.0","44.0","60.0","35.0","31.0","9.0","18.0","0.0","204.0","184.0","13.0","4.0","5.0","2.0","0.0","5.0","1.0","0.0","0.0","5.0","1.0","666.0","60.0","44.0","2.0","3.0","0.0","6.0","4.0","6","0","0","0","0","0","0","0","0","0","0","0"
"0","Houston Baptist","1322766","Valcoviak, Chad","10:1, 12:1, 13:1","3","3.0","0.0","5.0","3.0","1.0","1.0","2.0","3.0","0.0","19.0","16.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","3.0","1.0","0.0","0.0","73.0","7.0","3.0","0.0","0.0","0.0","8.0","1.0","3","0","0","0","0","0","0","0","0","0","0","0"
"0","Houston Baptist","1322767","Wiggins, Samm","2:2, 7:4, 8:4, 10:2, 11:1, 13:1","14","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","5","0","0","0","0","0","0","0","7","3","0"
"0","Houston Baptist","1322761","Foust, Josh","1:10, 2:5, 7:2, 8:2, 9:5","24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","18","2","5","0","0","0","0","0","0"
"0","Houston Baptist","1322762","Hoelscher, Tyler","12:2, 14:2, 15:1","5","5.0","5.0","36.1","46.0","21.0","14.0","8.0","10.0","0.0","163.0","150.0","9.0","0.0","0.0","2.0","0.0","1.0","0.0","0.0","0.0","4.0","0.0","391.0","46.0","47.0","1.0","1.0","0.0","5.0","2.0","5","0","0","0","0","0","0","0","0","0","0","0"
"0","Houston Baptist","1322763","Jones, Curtis","5:15, 6:6, 10:1, 14:1","23","6.0","3.0","28.1","28.0","13.0","7.0","7.0","15.0","0.0","123.0","106.0","1.0","1.0","0.0","3.0","0.0","5.0","0.0","1.0","1.0","5.0","0.0","357.0","22.0","41.0","3.0","2.0","0.0","12.0","7.0","6","0","0","0","12","9","0","0","0","0","0","0"
"0","Houston Baptist","1110543","Warren, Matt","11:1, 14:1","2","2.0","0.0","2.2","1.0","0.0","0.0","0.0","1.0","0.0","8.0","8.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","3.0","3.0","0.0","0.0","27.0","4.0","2.0","0.0","0.0","0.0","5.0","1.0","2","0","0","0","0","0","0","0","0","0","0","0"
"0","Houston Baptist","1110521","Arnst, Kolby","3:21, 4:3","24","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","0","24","0","0","0"
"0","Houston Baptist","1110524","Doerr, Blake","7:1, 10:1, 11:1, 12:2","5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","5","0","0","0","0","0"
